date,exercise,sets,reps,weight,unit
2014-11-08T16:00:00Z,sumo deadlift,1,1,140.00,kg
2014-11-08T16:00:00Z,sumo deadlift,1,1,145.00,kg
2014-11-08T16:00:00Z,sumo deadlift,1,1,155.00,kg
2015-02-28T10:00:00Z,conventional deadlift,3,3,275.00,lbs
2015-02-28T10:00:00Z,conventional deadlift,1,10,225.00,lbs
2015-03-07T11:00:00Z,sumo deadlift,1,5,275.00,lbs
2015-03-07T11:00:00Z,sumo deadlift,1,5,295.00,lbs
2015-03-07T11:00:00Z,sumo deadlift,1,5,315.00,lbs
2015-03-14T10:00:00Z,sumo deadlift,1,5,295.00,lbs
2015-03-14T10:00:00Z,conventional deadlift,4,3,315.00,lbs
2015-03-28T10:00:00Z,conventional deadlift,2,5,315.00,lbs
2015-04-04T10:30:00Z,conventional deadlift,1,3,330.00,lbs
2015-04-11T10:30:00Z,conventional deadlift,2,5,315.00,lbs
2015-04-18T10:00:00Z,conventional deadlift,5,1,275.00,lbs
2015-04-18T10:00:00Z,conventional deadlift,5,1,295.00,lbs
2015-05-02T10:00:00Z,sumo deadlift,3,5,275.00,lbs
2015-05-02T10:00:00Z,sumo deadlift,3,7,225.00,lbs
2015-05-09T10:30:00Z,sumo deadlift,3,5,245.00,lbs
2015-05-09T10:30:00Z,sumo deadlift,2,3,275.00,lbs
2015-05-16T10:30:00Z,sumo deadlift,3,5,245.00,lbs
2015-05-16T10:30:00Z,sumo deadlift,3,5,225.00,lbs
2015-05-16T10:30:00Z,sumo deadlift,3,3,275.00,lbs
2015-05-23T09:30:00Z,sumo deadlift,4,5,225.00,lbs
2015-05-23T09:30:00Z,sumo deadlift,1,3,275.00,lbs
2015-05-30T09:30:00Z,sumo deadlift,3,5,245.00,lbs
2015-06-06T09:30:00Z,sumo deadlift,3,5,275.00,lbs
2015-06-13T10:30:00Z,sumo deadlift,5,5,275.00,lbs
2015-06-20T09:00:00Z,sumo deadlift,4,5,295.00,lbs
2015-06-27T10:30:00Z,sumo deadlift,1,5,295.00,lbs
2015-06-27T10:30:00Z,sumo deadlift,2,5,275.00,lbs
2015-06-27T10:30:00Z,sumo deadlift,2,5,225.00,lbs
2015-07-04T10:30:00Z,sumo deadlift,12,3,275.00,lbs
2015-07-11T12:00:00Z,sumo deadlift,3,5,275.00,lbs
